Developer/Owner,Project Name,Project Type,Address,"TIF Amount (USD, NPV basis)",TIF Basis,TIF Cash-Basis Figure (USD),TIF % of Cost,TIF Structure,Total Project Cost (USD),Other Incentives,Status,Completion Date,Fiscal Horizon (yrs),Incentive Paid gross (USD),Net Taxes to Public (USD),Net Public Gain vs Baseline (USD),"Actual Rebate Paid to Developer (USD, Iowa DOM)",Actual Rebate Recipient (Iowa DOM),"Assessed Value (USD, Polk assessor)",Assessor Building Year,Assessor TIF District,Affordable Units,Total Units,Urban Renewal Area,Final Resolution #,Final Action,Final Approval Date,Disposition,Vote,Recusals,Confidence,Flags,Timeline,TIF Amount From,Cost From,Source URL,Source Page,Anchor Quote
"HOA Development, LLC",Aston - 186-unit mixed-use apartment building at 603 E. 6th Street,Mixed-use,603 East 6th Street,4500000.0,unverified (no NPV stated in source),,10.2,"capped TIF maximum value $4.5M NPV at 4.5% discount; $50,000 in year 8, 95% years 9-15, 90% years 16-20; ~10% of project financing",44000000.0,tax abatement (Developer intends to file for 10-year declining residential tax abatement),approved,,30.0,8858385.0,16806851.0,16036600.0,,,801000.0,,DES MOINES UPPER EAST VILLAGE URBAN RENEWAL,19.0,186.0,Upper East Village Urban Renewal Area / Upper East Village TIF District No. 1,23-0952,approve development agreement,2023-06-26,approved,6-1,,high,figure_not_in_source;counterparty_changed_across_actions;multi_meeting_project,2023-03-06: resolution of intent [23-0304] | 2023-03-27: resolution of intent [23-0404] (approved) | 2023-06-26: approve development agreement [23-0952] (approved) | 2025-07-14: amend agreement [25-0978] (approved),2023-06-26,2023-06-26,https://councildocs.dsm.city/communications/2023/23-311.pdf,1,capped TIF maximum value of $4.5 million in project-generated tax increment
"ND22 Fleming, LLC (assigned to KMC Properties, LLC)","Fleming Building adaptive reuse, 604 Walnut Street",Residential,604 Walnut Street,,,,,,,"economic development grant (Existing 15-year incentive in 3 grant phases; phase 3 paid yrs 11-15; amendment corrects first installment to May 15, 2025)",approved,,,,,,,,,,,,96.0,,23-0167,amend agreement,2023-02-06,approved,7-0,,medium,figure_not_in_source,2023-02-06: amend agreement [23-0167] (approved),,,https://councildocs.dsm.city/communications/2023/23-065.pdf,1,FISCAL IMPACT: NONE
"East Village Tower Partners, LLC",Rehabilitation of 600 E. 5th Street,Residential,600 E. 5th Street,,,,,,4000000.0,,approved,,,,,,846000.0,East Village Partners LLC,,,,,,,22-1894,amend agreement,2022-12-12,approved,7-0,,low,multi_meeting_project,2016-09-26: other [16-1614] (approved) | 2016-09-26: amend agreement [16-1615] (approved) | 2022-12-12: amend agreement [22-1894] (approved),,2016-09-26,https://councildocs.dsm.city/agendas/ag20221212.pdf,6,Reassignment of Development Agreement by Central State Bank
"McKinley Manor, LLC",,Other,,,,,,,,,approved,,,,,,,,,,,,,,22-1148,other,2022-07-18,approved,7-0,,low,,2022-07-18: other [22-1148] (approved),,,https://councildocs.dsm.city/agendas/ag20220718.pdf,7,"Termination of Urban Renewal Development Agreement with McKinley Manor, LLC"
"Swaps Cash, LLC",,Other,,,,,,,,,approved,,,,,,,,,,,,,,22-0903,other,2022-06-13,approved,6-1,,low,,2022-06-13: other [22-0903] (approved),,,https://councildocs.dsm.city/agendas/ag20220613.pdf,8,"Termination of Urban Renewal Development Agreement with Swaps Cash, LLC"
"201, LLC; MCP Subsidiary #1, LLC",,Other,201 East 2nd Street,,,,,,,,approved,,,,,,2283766.0,201 LLC,,,,,,,22-0612,other,2022-04-18,approved,7-0,,low,,2022-04-18: other [22-0612] (approved),,,https://councildocs.dsm.city/agendas/ag20220418.pdf,6,"Assignment of Development Agreement between 201, LLC and MCP Subsidiary #1, LLC"
"Ballyard Lofts; MCP Subsidiary #2, LLC",Ballyard Lofts,Residential,350 SW 2nd Street,,,,,,,,approved,,,,,,,,6860000.0,2013.0,DES MOINES METRO CENTER MERGED UR,,,,22-0613,other,2022-04-18,approved,7-0,,low,,2022-04-18: other [22-0613] (approved),,,https://councildocs.dsm.city/agendas/ag20220418.pdf,6,Assignment of Development Agreement between Ballyard Lofts and MCP Subsidiary #2
Greater Des Moines Botanical Garden (GDMBG),Botanical Center (corrected Third Amendment and Restated UR Development Agreement),Other,,,,,,"Economic development grants funded by Metro Center tax increment; existing $2M (2013) extended and additional $2.5M added; total EDG $2.9M payable in 18 semi-annual installments through June 1, 2030, tied to GDMBG qualifying investment",,,approved,,,,,,,,,,,,,Metro Center,21-1826,amend agreement,2021-12-06,approved,7-0,,low,figure_not_in_source;multi_meeting_project,2021-11-15: amend agreement [21-1755] (approved) | 2021-12-06: amend agreement [21-1826] (approved),,,https://councildocs.dsm.city/minutes/as20211206.pdf,8,corrected Third Amendment and Restated Urban Renewal Development Agreement with the Greater Des Moines Botanical Garden
Slate at Gray's Landing LLC (Sherman Associates),The Slate,Residential,southwest corner of SW 11th Street and Tuttle Street,,,,,"After 10 years of tax abatement, project receives a percentage of TIF back (percentage per Parcel Development Agreement); payments Dec 2032-June 2036; $2.8M TIF cap under Master Development Agreement through 6/30/2036",30000000.0,tax abatement (10-year tax abatement before TIF rebate begins),approved,,,,,,,,,,,,129.0,Gray's Landing Development Area,21-1420,approve development agreement,2021-09-13,approved,6-1,,medium,figure_not_in_source;multi_meeting_project,2021-09-13: approve development agreement [21-1420] (approved) | 2023-09-11: amend agreement [23-1258] (approved),,2021-09-13,https://councildocs.dsm.city/communications/2021/21-394.pdf,2,The Slate will be receiving a percentage of TIF back
"3523 6th Avenue, LLC (Joe Cordaro, Randy Reichardt)",Commercial renovation of 3523 6th Avenue (former Euclid Avenue State Bank),Mixed-use,3523 6th Avenue,347170.0,NPV (corrected from cash),534012.0,19.7,"~$534,012 project-generated TIF on a cash basis; $347,170 NPV at 4.5%; 90% years 1-5, 85% years 6-10, 80% years 11-15",1760000.0,tax abatement (Eligible for commercial tax abatement but requesting TIF in lieu); grant (Invest DSM preliminary commitment of grant and loan funds); other (Seeking Federal and State Historic Tax Credits),completed,2022-12-12,30.0,534012.0,1469098.0,1249378.0,161018.0,206 6th Avenue LLC,1106000.0,1990.0,DES MOINES OAK PARK-HIGHLAND PARK UR,,,Oak Park-Highland Park Urban Renewal Area,21-0380,approve development agreement,2021-03-08,approved,6-1,,high,figure_not_in_source;multi_meeting_project,2021-01-25: resolution of intent [21-0106] (approved) | 2021-01-25: resolution of intent [21-0107] (approved) | 2021-03-08: approve development agreement [21-0380] (approved) | 2021-03-08: approve development agreement [21-0381] (approved) | 2021-06-14: amend agreement [21-0877] (approved) | 2021-06-16: amend agreement [43] | 2021-07-19: other [21-1130] (approved),2021-03-08,2021-03-08,https://councildocs.dsm.city/communications/2021/21-119.pdf,1,"$534,012 in project-generated tax increment on a cash basis"
"Krause+ (Gerard Haberman, President)",Capital City Reinvestment District / Krause+ Stadium and Western Gateway master planned redevelopment,Residential,"Approx. 60 acres south of Martin Luther King Jr. Parkway east of the Raccoon River; approx. 6 acres in Western Gateway between High St and Grand Ave, 15th-17th Streets",,,,,"Project-generated tax increment on building valuations, exclusive of land, at 90% for 20 years; cap reflecting the financing gap to be set in final agreement",550000000.0,"land conveyance (Sale and/or lease of City-owned parcels (1.27-acre north of Dico site, 1.43-acre Western Gateway, plus adjacent right-of-way) to Krause+)",approved,,,,,,,,,,,,,Metro Center Urban Renewal Area,21-0219,resolution of intent,2021-02-08,approved,7-0,,medium,figure_not_in_source,2021-02-08: resolution of intent [21-0219] (approved),,2021-02-08,https://councildocs.dsm.city/communications/2021/21-062.pdf,1,"tax increment on the building valuations, exclusive of land at 90% for 20 years"
"FW Rehab, LLC (Abbey Gilroy, Executive Director)",Renovation of 3610 6th Avenue into mixed-use residential and commercial (home to Chuck's Restaurant),Mixed-use,3610 6th Avenue,113915.0,NPV (corrected from cash),166720.0,9.2,"Economic development grant from building TIF (exclusive of land); ~$166,720 cash ($113,915 NPV at 4.5%)",1240000.0,tax abatement (Eligible for declining commercial tax abatement),completed,2021-12-20,30.0,166720.0,877459.0,600528.0,4221.0,FW Rehab LLC,1036000.0,1995.0,DES MOINES OAK PARK-HIGHLAND PARK UR,1.0,4.0,Oak Park-Highland Park Urban Renewal Area,21-0109,approve development agreement,2021-01-25,approved,7-0,,high,figure_not_in_source;multi_meeting_project,2020-11-23: resolution of intent [20-1884] (approved) | 2021-01-25: approve development agreement [21-0109] (approved) | 2025-10-20: amend agreement [25-1411] (approved),2021-01-25,2021-01-25,https://councildocs.dsm.city/communications/2021/21-044.pdf,1,"approximately $166,720 on a cash basis ($113,915 on a net-present-value"
"611 Fifth Avenue, LLC",,Other,,,,,,,,,approved,,,,,,161018.0,206 6th Avenue LLC,,,,,,,20-1333,other,2020-08-17,approved,7-0,,low,,2020-08-17: other [20-1333] (approved),,,https://councildocs.dsm.city/minutes/as20200817.pdf,7,"Collateral Assignment of Urban Renewal Development Agreement with 611 Fifth Avenue, LLC"
"Reagan Partners, LLC (Tim Rypma, Paul Cownie and Jeremy Cortright)",historic renovation of three multi-family apartment buildings,Residential,2801 Grand Avenue,994627.0,NPV (corrected from cash),1395000.0,12.0,"$1,395,000 TIF cash ($994,627 NPV at 4%), paid yrs1-13 after completion",8300000.0,,completed,2021-12-06,30.0,1395000.0,3284465.0,1482071.0,50000.0,Reagan Partners,3590000.0,1990.0,DES MOINES INGERSOLL-GRAND COMMERCIAL UR,,,Ingersoll Grand Commercial Urban Renewal Area,20-1248,approve development agreement,2020-08-05,approved,6-0,Mayor Cownie abstains from voting based on an appearance of a conflict of interest,medium,figure_not_in_source;counterparty_changed_across_actions;multi_meeting_project,2020-03-23: resolution of intent [20-0532] (approved) | 2020-08-03: approve development agreement [20-1248] | 2020-08-05: approve development agreement [20-1248] (approved),2020-08-03,2020-08-03,https://councildocs.dsm.city/minutes/as20200805.pdf,9,"Urban Renewal Development Agreement with Reagan Partners, LLC"
"Bridge District Level, LLC",Level Apartments (Bridge District),Residential,300 block of Maple Street,4800634.0,NPV (as extracted; CC NPV differs),,17.8,"$1.5M non-project Metro Center TIF yrs1-6 + $3.3M project-generated TIF yrs7-15; total $4,800,634 cash, $3,273,895 NPV at 4.5%",26900000.0,tax abatement (10-yr declining abatement for apartments; 6-yr declining abatement for rowhomes),completed,2023-08-07,30.0,5335217.0,23531325.0,22811571.0,,,,,,,139.0,Metro Center TIF,20-0533,approve development agreement,2020-03-23,approved,7-0,,high,figure_not_in_source;counterparty_changed_across_actions;multi_meeting_project,2019-12-16: resolution of intent [19-2018] (approved) | 2020-03-09: approve development agreement [20-0430] | 2020-03-23: approve development agreement [20-0533] (approved) | 2020-12-07: amend agreement [20-2015] (approved) | 2022-03-21: amend agreement [22-0425] (approved) | 2023-07-17: amend agreement [23-1011] (approved),2020-03-23,2020-03-23,https://councildocs.dsm.city/communications/2020/20-143.pdf,1,projected total amount of TIF assistance is estimated at $4.8 million
Gray's Landing Office LLC,Gray's Landing Office,Office,Gray's Landing (3.75-acre parcel),984430.0,unverified (no NPV stated in source),,6.6,"parcel grant $984,430 (of $2.8M master allocation); each semi-annual installment equal to one-half of 45% of project incremental tax revenue, until paid in full or FY2035/36",15000000.0,,approved,,,,,,,,,,,,,Metro Center Urban Renewal Area,20-0145,amend agreement,2020-01-27,approved,7-0,,low,figure_not_in_source;multi_meeting_project,2019-12-16: amend agreement [19-2015] (approved) | 2020-01-27: amend agreement [20-0145] (approved),2019-12-16,2019-12-16,https://councildocs.dsm.city/agendas/ag20200127.pdf,5,Corrective Second Amended and Restated Parcel Development Agreement with Gray's Landing Office LLC
"Jarcor, LLC",,Other,,,,,,,,,approved,,,,,,,,,,,,,,20-0071,amend agreement,2020-01-13,approved,7-0,,low,figure_not_in_source;multi_meeting_project,2020-01-13: amend agreement [20-0071] (approved) | 2020-03-09: other [20-0431] (approved),,,https://councildocs.dsm.city/agendas/ag20200113.pdf,8,"Corrected First Amendment to Urban Renewal Development Agreement with Jarcor, LLC"
"Krause Group, LTD. f/k/a Krause Holdings, Inc. and Linden Street Investments, LLC (Kyle Krause)",Krause Group / Kum & Go corporate headquarters,Office,1459 Grand Avenue,,,,,,,,completed,2018-10-22,,,,,8866285.0,Kum & Go,81900000.0,2017.0,DES MOINES METRO CENTER MERGED UR,,,,19-2019,amend agreement,2019-12-16,approved,7-0,,medium,figure_not_in_source;multi_meeting_project,2017-08-14: amend agreement [17-1376] (approved) | 2019-12-16: amend agreement [19-2019] (approved),,,https://councildocs.dsm.city/communications/2019/19-534.pdf,1,from $100 per square foot to $300 per square foot
Des Moines Area Metropolitan Planning Organization (MPO),Des Moines Transloading facility,Industrial / warehouse,200 Southeast 15th Street,,,,,,,,completed,2025-12-22,,,,,,,,,,,,,19-2068,approve development agreement,2019-12-16,approved,6-0,Mayor Cownie abstains from voting based on an appearance of a conflict of interest (both A and B),low,figure_not_in_source;multi_meeting_project,2018-06-11: set public hearing [18-0988] (hearing set) | 2019-12-16: approve development agreement [19-2068] (approved),,,https://councildocs.dsm.city/agendas/ag20191216.pdf,12,development agreement with Des Moines Area Metropolitan Planning Organization (MPO) for the Des Moines Transloading facility
Greater Des Moines Partnership,downtown year-around farmers market,Other,,,,,,,,economic development grant (economic development grant to Greater Des Moines Partnership to assist location/development of a downtown year-around farmers market; amount not stated),approved,,,,,,,,,,,,,,19-1411,other,2019-09-09,approved,7-0,,low,figure_not_in_source,2019-09-09: other [19-1411] (approved),,,https://councildocs.dsm.city/agendas/ag20190909.pdf,7,Economic development grant to the Greater Des Moines Partnership
"Jarcor, LLC (Benchmark Real Estate Group; Joe Cordaro)",Argonne Apartments Building historic renovation,Residential,1723 Grand Avenue,984000.0,NPV (confirmed),,12.8,"100% of project-generated tax increment from taxable building valuations (exclusive of land) in years 8-20, NPV at 4.5%",7700000.0,tax abatement (10-year declining tax abatement),completed,2021-02-22,30.0,1966987.0,2669286.0,2219331.0,,,7887000.0,1995.0,DES MOINES METRO CENTER MERGED UR,,45.0,Metro Center Urban Renewal Area,19-0804,approve development agreement,2019-05-20,approved,7-0,,high,figure_not_in_source;multi_meeting_project,2019-04-22: resolution of intent [19-0641] (approved) | 2019-05-20: approve development agreement [19-0804] (approved) | 2019-08-05: other [19-1222] (approved) | 2019-12-16: amend agreement [19-2020] (approved) | 2021-03-08: other [21-0382] (approved),2019-05-20,2019-05-20,https://councildocs.dsm.city/communications/2019/19-216.pdf,1,"estimated at $984,000 (NPV at a 4.5% discount rate)"
"Bell Avenue Properties, Inc. (The Waldinger Corporation)",Waldinger Corporation Office Headquarters and Production Facility,Industrial / warehouse,4701 block of SW 63rd Street at McKinley Avenue and Veteran's Parkway,2300000.0,unverified (no NPV stated in source),,7.2,"100% of new project-generated tax increment for ~5 years, TIF economic development grant capped at $2.3M, commencing after 3-year tax abatement expires",32000000.0,"tax abatement (3-year, 100% commercial tax abatement per Third Restated Urban Revitalization Plan); forgivable loan (economic forgivable loan equal to fair market value purchase price of the vacated Southwest Connector Roadway Easement (~$170,950 per prior conveyance 18-1576/77/78))",completed,2021-01-25,20.0,2300000.0,10655040.0,10622798.0,40000.0,"Bell Ave Properties, Inc",,,,,,Southwest Gateway Urban Renewal Area,19-0480,approve development agreement,2019-03-25,approved,7-0,,high,figure_not_in_source;multi_meeting_project,2018-09-24: resolution of intent [18-1576] (approved) | 2019-03-25: approve development agreement [19-0480] (approved) | 2019-06-24: other [19-1005] (approved),2019-03-25,2019-03-25,https://councildocs.dsm.city/communications/2019/19-119.pdf,1,capped at a maximum total of $2.3 million dollars
"Merle Hay Investors, LLC",Merle Hay Mall rehabilitation & Sears site redevelopment,Retail / restaurant,"Merle Hay Mall, Merle Hay Road and Douglas Avenue",4800000.0,unverified (no NPV stated in source),,,"semi-annual installments of $200,000 (up to $400,000/year) from Merle Hay TIF District for remaining 12-year life of district; total $4.8M",,,approved,,,,,,4105853.0,Merle Hay Mall,,,,,,Merle Hay Commercial Area Urban Renewal Area,19-0479,approve development agreement,2019-03-25,approved,7-0,,high,figure_not_in_source;multi_meeting_project,2019-01-28: resolution of intent [19-0151] (approved) | 2019-03-25: approve development agreement [19-0479] (approved) | 2020-08-17: amend agreement [20-1332] (approved) | 2020-10-19: amend agreement [20-1662] (approved) | 2022-05-09: amend agreement [22-0704] (approved),2019-03-25,,https://councildocs.dsm.city/communications/2019/19-140.pdf,1,"semi-annual installments of $200,000 (up to $400,000 per year)"
"JR Partners, LLC (Tim Rypma, Jeremy Cotright, and Paul Cownie, Members)",,Other,,,,,,,,,approved,,,,,,6835.0,JR Partners LLC,,,,,,,19-0478,resolution of intent,2019-03-25,,,,low,figure_not_in_source,2019-03-25: resolution of intent [19-0478],,,https://councildocs.dsm.city/agendas/ag20190325.pdf,7,"Preliminary terms of an Urban Renewal Development Agreement with JR Partners, LLC"
"Wells Fargo Properties, Inc.",Eighth and Mulberry Parking / Wells Fargo redevelopment,Other,"Eighth and Mulberry, Des Moines",,,,,,,,approved,,,,,,40000.0,"Bell Ave Properties, Inc",,,,,,,19-0481,amend agreement,2019-03-25,approved,7-0,,low,figure_not_in_source,2019-03-25: amend agreement [19-0481] (approved),,,https://councildocs.dsm.city/agendas/ag20190325.pdf,7,"amendment to Redevelopment Agreement with Wells Fargo Properties, Inc."
"Des Moines Griffin Building, LLC",Griffin Building historic renovation (mixed-use),Mixed-use,319 7th Street,1600000.0,NPV (confirmed),,12.9,100% of project-generated TIF from building valuations (excl. land) years 1-20; NPV at 4.5%; ~12.6% of project costs,12400000.0,tax abatement (10-year declining tax abatement on multi-residential units),completed,2020-11-23,30.0,2845578.0,4877943.0,3081426.0,,,6720000.0,2015.0,DES MOINES METRO CENTER MERGED UR,,35.0,Metro Center Urban Renewal Area,18-1544,approve development agreement,2018-09-10,approved,7-0,,high,figure_not_in_source;multi_meeting_project,2018-09-10: approve development agreement [18-1544] (approved) | 2020-12-21: amend agreement [20-2120] (approved),2018-09-10,2018-09-10,https://councildocs.dsm.city/communications/2018/18-441.pdf,1,"years 1-20, estimated at $1.6 million (NPV at a 4.5% discount rate)"
"SG16, LLC",,Other,,,,,,,,,approved,,,,,,,,,,,,,,18-1341,amend agreement,2018-08-06,approved,7-0,,low,figure_not_in_source,2018-08-06: amend agreement [18-1341] (approved),,,https://councildocs.dsm.city/agendas/ag20180806.pdf,6,"Assignment and Assumption of, and Amendment to Urban Renewal Development Agreement"
"The Printer, Inc. and Lucky Star III, LLC",,Office,,,,,,,,,approved,,,,,,,,,,,,,,18-1160,approve development agreement,2018-07-09,withdrawn,7-0,,low,figure_not_in_source,2018-07-09: approve development agreement [18-1160] (withdrawn),,,https://councildocs.dsm.city/minutes/as20180709.pdf,6,"approving Development Agreement between The Printer, Inc., Lucky Star III, LLC"
"Rowat Lofts, LLC",Rowat Lofts,Residential,110 SE 7th Street,3090000.0,unverified (no NPV stated in source),,11.4,"Graduated project-generated TIF: 60% yrs1-3, 45% yrs4-6, 40% yrs7-9, 35% yrs10-12, 30% yrs13-15; $2.2M on NPV basis at 4.5%",27100000.0,"tax abatement (10-year declining tax abatement (100% yrs1-8, 60% yr9, 40% yr10))",approved,,,,,,960000.0,"Rowat Lofts, LLC",,,,17.0,162.0,Metro Center Urban Renewal Area,18-0701,approve development agreement,2018-04-23,,,,medium,figure_not_in_source;counterparty_changed_across_actions;multi_meeting_project,"2017-12-18: other [17-2150] (approved) | 2018-03-08: approve development agreement [18-0359] | 2018-04-23: approve development agreement [18-0701] | 2019-11-18: certificate of completion [19-1839, 19-1840] (approved)",2018-04-23,2018-04-23,https://councildocs.dsm.city/communications/2018/18-213.pdf,2,Total TIF assistance is estimated at $3.09 million on a cash basis
"RE3, LLC",440 E. Grand Avenue historic renovation (mixed-use),Mixed-use,440 E. Grand Avenue,,,,,,,,completed,2019-09-09,,,,,91861.0,RE3 LLC,1508000.0,2010.0,DES MOINES METRO CENTER MERGED UR,,,,18-0700,approve development agreement,2018-04-23,withdrawn,7-0,,low,figure_not_in_source;multi_meeting_project,2018-04-23: approve development agreement [18-0700] (withdrawn) | 2018-07-23: amend agreement [18-1255] (approved),,,https://councildocs.dsm.city/minutes/as20180423.pdf,8,"Urban Renewal Development Agreement with RE3, LLC for the historic renovation"
