Developer/Owner,Project Name,Project Type,Address,"TIF Amount (USD, NPV basis)",TIF Basis,TIF Cash-Basis Figure (USD),TIF % of Cost,TIF Structure,Total Project Cost (USD),Other Incentives,Status,Completion Date,Fiscal Horizon (yrs),Incentive Paid gross (USD),Net Taxes to Public (USD),Net Public Gain vs Baseline (USD),"Actual Rebate Paid to Developer (USD, Iowa DOM)",Actual Rebate Recipient (Iowa DOM),"Assessed Value (USD, Polk assessor)",Assessor Building Year,Assessor TIF District,Affordable Units,Total Units,Urban Renewal Area,Final Resolution #,Final Action,Final Approval Date,Disposition,Vote,Recusals,Confidence,Flags,Timeline,TIF Amount From,Cost From,Source URL,Source Page,Anchor Quote
Townhall Associates LP,1601 6th Avenue historic renovation and mixed-use/food hall new construction,Mixed-use,1601 6th Avenue and 1605/1609/1619 6th Avenue,460000.0,NPV (confirmed),,3.5,"Not to exceed $460,000, equivalent to 100% of estimated project-generated TIF in Years 1-20, NPV at 4.5% discount rate; delivered as up-front $300,000 loan repaid through project tax increment with up to additional $160,000 if repaid before Year 20",13100000.0,"forgivable loan $300,000 (Loan advanced upon issuance of certificate of completion, repaid through project-generated tax increment Years 1-20; minimum assessment agreement required; outstanding balance forgiven at end of 20-year term if affordability requirements met; project prohibited from applying for tax abatement)",approved,,30.0,460000.0,1228903.0,864929.0,,,446700.0,1888.0,DES MOINES METRO CENTER MERGED UR,29.0,29.0,Metro Center TIF District,25-0588,approve development agreement,2025-04-21,approved,7-0,,high,counterparty_changed_across_actions;multi_meeting_project,2018-04-23: other [18-0695] (approved) | 2022-04-18: resolution of intent [22-0611] (approved) | 2022-12-12: approve development agreement [22-1888] (approved) | 2023-08-07: resolution of intent [23-1088] (approved) | 2023-09-11: amend agreement [23-1257] | 2023-10-02: amend agreement [23-1340] (approved) | 2024-02-19: resolution of intent [24-0258] (approved) | 2025-04-21: approve development agreement [25-0588] (approved) | 2025-06-09: amend agreement [25-0836] (approved),2025-04-21,2025-04-21,https://councildocs.dsm.city/communications/2025/25-163.pdf,1,"financial assistance in an amount not to exceed $460,000"
,Fourth Amendment to Oak Park-Highland Park Urban Renewal Plan; TIF District No. 6,TIF district / UR plan,,,,,,,,,approved,,,,,,,,,,,,,Oak Park-Highland Park Urban Renewal Area,25-0607,ordinance,2025-04-21,approved,7-0,,medium,,2025-04-21: ordinance [25-0607] (approved),,,https://councildocs.dsm.city/communications/2025/25-167.pdf,1,proposed 4th Amendment to the Urban Renewal Plan
"Newbury Management Company and Newbury Commons Associates, L.P.",Newbury Commons,Residential,401 SE 7th Street,560000.0,unverified (no NPV stated in source),,4.0,"Capped TIF maximum value of $560,000 in project-generated tax increment on NPV basis at 4.5% discount rate; schedule 95% Years 1-8, 60% Years 9-10, 40% Years 11-13, 30% Years 14-15",13830000.0,"forgivable loan $376,320 (Forgivable loan for acquisition of adjacent City-owned 16,800 sq ft remnant parcel to be included in the development)",approved,,,,,,,,0.0,,,,49.0,Metro Center Urban Renewal Area,25-0189,resolution of intent,2025-02-10,approved,7-0,,high,,2025-02-10: resolution of intent [25-0189] (approved),2025-02-10,2025-02-10,https://councildocs.dsm.city/communications/2025/25-061.pdf,1,"capped TIF maximum value of $560,000"
"Lawmark, LP",Financial Center building renovation (office-to-housing conversion),Residential,606 and 666 Walnut Street,10000000.0,NPV (confirmed),,,"Declining schedule of project generated tax increment (building valuations, exclusive of land) Years 1-20: 95% Years 1-10, 85% Years 11-15, 70% Years 16-20; capped at $10 million NPV at 4.5% discount rate",,"economic development grant $10,000,000 (Economic development grant paid from project-generated tax increment per the Fiscal Impact schedule; capped at $10 million NPV at 4.5%)",approved,,30.0,15872390.0,42474659.0,20552155.0,,,13607000.0,1973.0,DES MOINES METRO CENTER MERGED UR,,200.0,Metro Center Urban Renewal Area,25-0126,amend agreement,2025-01-27,approved,7-0,,high,multi_meeting_project,2024-03-04: amend agreement [24-0343] (approved) | 2025-01-27: amend agreement [25-0126] (approved),2025-01-27,,https://councildocs.dsm.city/communications/2025/25-030.pdf,2,capped at a maximum of $10 million
Housing For All,Rehabilitation and redevelopment of 200 Euclid Avenue,Residential,200 Euclid Avenue,,,,,,,,approved,,,,,,,,356000.0,2004.0,,,,,25-0125,resolution of intent,2025-01-27,approved,7-0,,medium,,2025-01-27: resolution of intent [25-0125] (approved),,,https://councildocs.dsm.city/communications/2025/25-036.pdf,1,rehabilitation and redevelopment of 200 Euclid Avenue
515 Walnut LLC,515 Walnut apartment tower,Residential,515 Walnut Street,3800000.0,NPV (as extracted; CC NPV differs),,2.6,$3.8 million project-generated TIF (NPV at 4.5% discount rate): 100% in years 9-10 and 90% in years 11-14; ~2.6% of total project cost,148000000.0,"grant $500,000 (American Rescue Plan Act (ARPA) grant paid upon project completion and issuance of certificate of completion); other $1,000,000 (release of Employers Mutual Casualty Company (EMC) funds held in escrow for reconnection of the skywalks, paid in two $500,000 installments)",approved,,30.0,6787947.0,37412932.0,37329111.0,,,,,,39.0,390.0,Metro Center Urban Renewal Area,33-I,approve development agreement,2024-12-23,,,,medium,duplicate_of_item_50-I;counterparty_changed_across_actions;multi_meeting_project,2022-11-21: resolution of intent [22-1802] (approved) | 2024-12-23: approve development agreement [33-I] | 2024-12-23: approve development agreement [24-1752] (approved),2024-12-23,2024-12-23,https://councildocs.dsm.city/communications/2024/24-536.pdf,1,a total incentive of approximately $5.3 million
"Valo Apartments, LLC",Valo Apartments mixed-use development (25th Street and Carpenter Avenue),Mixed-use,southeast corner of 25th Street and Carpenter Avenue,,,,,,22000000.0,,approved,,,,,,,,,,,,116.0,,24-1642,amend agreement,2024-12-09,approved,7-0,,high,,2024-12-09: amend agreement [24-1642] (approved),,2024-12-09,https://councildocs.dsm.city/communications/2024/24-494.pdf,1,"construction of a $22 million, 108,000-square-foot mixed-use development"
Des Moines Industrial LLC and Des Moines Industrial Land LLC,Rail-connected silo transloading infrastructure (Phase 2),Industrial / warehouse,adjacent to 357 SE 15th Street,,,,,"non-project-generated tax increment financing funds; $1,000,000 secured forgivable loan funded by tax increment generated by the Southeast AgriBusiness Urban Renewal Area",16000000.0,"forgivable loan $1,000,000 (secured forgivable loan payable upon Phase 1 certificate of completion and site preparation for Phase 2; disbursement/forgiveness subject to obligations including completing Phase 2 within 3 years of disbursement)",approved,,,,,,,,,,,,,Southeast AgriBusiness Urban Renewal Area,24-1574,resolution of intent,2024-11-18,approved,7-0,,high,,2024-11-18: resolution of intent [24-1574] (approved),,2024-11-18,https://councildocs.dsm.city/communications/2024/24-467.pdf,1,"$1,000,000, structured as a secured forgivable loan"
"Ruan Redevelopment Partners, LLC",601 Locust conversion (Two Ruan building),Residential,601 Locust Street,2770000.0,NPV (corrected from cash),5570000.0,3.4,"approximately $5.57 million project-generated TIF on cash basis ($2.77 million NPV at 4.5% discount rate): 95% years 9-12, 90% years 13-15, 80% years 16-18, 70% years 19-20; ~3.4% of total project cost",81200000.0,,approved,,30.0,5569449.0,19609066.0,8825094.0,,,1310100.0,1981.0,DES MOINES METRO CENTER MERGED UR,,221.0,Metro Center Urban Renewal Area,24-0871,approve development agreement,2024-06-17,approved,7-0,,medium,ambiguous_disposition;multi_meeting_project,2024-05-20: resolution of intent [24-0751] (approved) | 2024-06-17: approve development agreement [24-0871] (approved) | 2026-03-09: amend agreement [26-0310] (approved),2024-06-17,2024-06-17,https://councildocs.dsm.city/communications/2024/24-274.pdf,1,approximately $5.57 million in project generated tax increment
"Scott Avenue Landing, LLC",Scott Avenue Landing townhomes,Residential,417 Scott Avenue,,,,,,12856000.0,"other $1,000,000 (State of Iowa Workforce Housing Tax Credit (WHTC) benefits estimated at $1,000,000; state tax credits with no fiscal impact on City general fund); tax abatement $4,500,000 (local match estimated at $4,500,000 provided from tax abatement)",approved,,,,,,,,49300.0,,DES MOINES METRO CENTER MERGED UR,,34.0,,24-0803,other,2024-06-03,approved,7-0,,high,,2024-06-03: other [24-0803] (approved),,2024-06-03,https://councildocs.dsm.city/communications/2024/24-240.pdf,1,"$1,000,000 estimated WHTC benefit; local match estimated at $4,500,000"
Joppa Experience LLC,Joppa Experience restaurant,Retail / restaurant,1829 6th Avenue,,,,,,,"forgivable loan (Phase 1 forgivable loan for NCR-eligible projects; individual amount not stated); loan (Phase 1 non-forgivable loan for drywall and framing to separate kitchen from customer-facing area; individual amount not stated); grant (Phase 2 assistance structured consistent with traditional NCR grant program; individual amount not stated. Total assistance across all phases remains the $60,763 originally approved under NCR Round 3-ARPA (Roll Call 23-0496))",approved,,,,,,,,168000.0,1979.0,DES MOINES METRO CENTER MERGED UR,,,,24-0804,approve development agreement,2024-06-03,approved,7-0,,medium,figure_not_in_source,2024-06-03: approve development agreement [24-0804] (approved),,,https://councildocs.dsm.city/communications/2024/24-241.pdf,1,"in the amount of $60,763"
American Equity Investment Life Insurance Company,American Equity downtown office relocation (1100 Locust Street),Office,1100 Locust Street,,,,,,9100000.0,"economic development grant ($50 per full-time position employed primarily downtown per year for up to 10 years, paid in annual installments of approximately $32,500 based on ~650 FTE; conditioned on minimum 600 jobs, top 500 positions averaging $95,055+ salary, and minimum $4 million capital investment); parking $410,400 (Parking License Agreement for minimum 120 spaces at 1200 Mulberry or 9th and Locust ramps at discounted rates years 1-9; cumulative 10-year discount of $410,400 versus full rate ($1,317,600 paid vs $1,728,000 full))",approved,,,,,,,,63500000.0,2009.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,24-0833,approve development agreement,2024-06-03,approved,7-0,,high,,2024-06-03: approve development agreement [24-0833] (approved),,2024-06-03,https://councildocs.dsm.city/communications/2024/24-242.pdf,1,"annual installments of approximately $32,500"
"The District Developer, LLC",Market District redevelopment,Mixed-use,vicinity of East 4th and East Market Streets (Market District),,,,,"Project-generated TIF economic development grant, 20 years per development project upon completion; construction must commence by Oct 2030",,,approved,,,,,,,,,,,,,Metro Center Urban Renewal Area,24-0753,amend agreement,2024-05-20,approved,7-0,,high,figure_not_in_source;multi_meeting_project,2020-06-08: resolution of intent [20-0914] (approved) | 2021-12-06: amend agreement [21-1827] (approved) | 2022-07-18: amend agreement [22-1143] (approved) | 2022-08-22: amend agreement [22-1332] (approved) | 2022-11-21: amend agreement [22-1801] (approved) | 2023-10-02: amend agreement [23-1341] (approved) | 2024-05-20: amend agreement [24-0753] (approved),,,https://councildocs.dsm.city/communications/2024/24-223.pdf,1,provide a one (1)-year extension to the deadline
,Workforce Housing Tax Credit benefit applications (7 projects),Residential,,,,,,,,"other $1,000,000 ((A) HOA Aston, LLC (Heart of America Group): estimated WHTC state tax credit benefit; $47,520,000 project, 186 housing units at 603 E 6th Street; local match est. $4,500,000 from TIF economic development grant); other $900,000 ((B) Cold Storage Rehab, LLC (Neighborhood Development Corp): estimated WHTC benefit; $13,000,000 project, 48 units at 2814 7th Street; local match est. $312,000 from economic development grant); other $434,000 ((D) Sullivan Holdings, LLC: estimated WHTC benefit; $4,496,000 project, 4 townhome units and 20 multi-family units at 3111-3121 Merle Hay Road; local match est. $596,000 from tax abatement); other $160,000 ((E) Summit Townhomes, LLC: estimated WHTC benefit; $8,500,000 project, 35 townhome units at 16 Indianola Road; local match est. $181,250 from tax abatement); other $1,000,000 ((F) Linc IV Apartments, LLC (Hubbell Realty Company): estimated WHTC benefit; $27,600,000 project, 135 multi-family units at 1270 Tuttle Street and 1275 Murphy Street; local match est. $1,800,000 from tax abatement); other $105,000 ((G) Uptown Investor TJU, LLC (Urban Development Corp): estimated WHTC benefit; $2,567,500 project, 7 second-story apartment units at 4104 University Avenue; local match est. $161,000 from tax abatement); other $1,000,000 ((H) Sonar at Highland Park, LLC (Sonar Development Partners): estimated WHTC benefit; $26,000,000 project, 101 apartment units at 604 Euclid Avenue; local match est. $101,000 from economic development grant)",approved,,,,,,,,,,,,,,24-0744,other,2024-05-20,approved,7-0,"Council Member Simonson declared a conflict of interest and abstained from voting on sub-item (G) (RC 24-0749, carried 6-0)",medium,,2024-05-20: other [24-0744] (approved),,,https://councildocs.dsm.city/communications/2024/24-222.pdf,1,"WHTC benefits estimated at $5,599,000"
"Kemin Industries, Inc. and Kemin Holdings, LC","Kemin 340,500 sq ft warehouse",Industrial / warehouse,606 SE 23rd Street,2513007.0,NPV (as extracted; CC NPV differs),,9.0,"80% of project-generated tax increment from taxable building valuations (exclusive of land) for 3 years after expiration of industrial tax abatement; TIF economic development grant capped at $2 million NPV; estimated NPV $1,846,749 (~6.07% of total project costs)",28000000.0,"tax abatement (Industrial Tax Abatement provision, Iowa Code Section 427B (abatement schedule 75%, 60%, 45%, 30%, 15%); developer will seek tax abatement upon completion)",completed,2025-09-29,30.0,0.0,47350058.0,46512904.0,,,,,,,,Southeast Ag Urban Renewal Area,24-0501,approve development agreement,2024-04-01,approved,7-0,,high,figure_not_in_source;counterparty_changed_across_actions;multi_meeting_project,2024-02-19: resolution of intent [24-0257] (approved) | 2024-04-01: approve development agreement [24-0501] (approved) | 2026-06-29: amend agreement [26-0749] (approved),2024-04-01,2024-04-01,https://councildocs.dsm.city/communications/2024/24-138.pdf,1,"The total Tax Increment Finance (TIF) assistance is estimated at $2,513,007"
"Gold Cap Development, Sidekick Development and Wade Investments",401 Robert D. Ray Drive mixed-use development (City-owned site),Mixed-use,401 Robert D. Ray Drive,,,,,,,,approved,,,,,,,,,,,,,,24-0256,other,2024-02-19,approved,6-0,,medium,,2024-02-19: other [24-0256] (approved),,,https://councildocs.dsm.city/communications/2024/24-081.pdf,1,"accepting development proposal from Gold Cap Development, Sidekick Development"
"1435 Mulberry, LLC",1435 Mulberry 202-unit mixed-use apartment building,Mixed-use,1435 Mulberry Street,5300000.0,unverified (no NPV stated in source),,8.5,"capped TIF maximum value of $5.3 million in project-generated tax increment, NPV at 4.5%; 95% in years 9 through 20; developer intends to file for 10-year declining residential tax abatement; TIF ~8.52% of total project financing",62000000.0,,approved,,30.0,10617453.0,20280107.0,18951064.0,,,1310000.0,,DES MOINES METRO CENTER MERGED UR,,202.0,Metro Center Urban Renewal Area,24-0114,approve development agreement,2024-01-22,approved,6-0,,high,multi_meeting_project,2023-11-20: resolution of intent [23-1620] (approved) | 2024-01-22: approve development agreement [24-0114] (approved),2024-01-22,2024-01-22,https://councildocs.dsm.city/communications/2024/24-024.pdf,1,a capped TIF maximum value of $5.3 million
Center at Sixth,Center at Sixth mixed-use / retail incubator,Mixed-use,1760 6th Avenue,850000.0,unverified (no NPV stated in source),,9.8,"capped TIF maximum value of $850,000 in project-generated tax increment, NPV at 4.5%; 95% in years 1 through 20; developer forgoes tax abatement; TIF ~10% of total project financing",8650000.0,"grant $100,000 (American Rescue Plan Act (ARPA) grant for affordable housing contemplated within the development agreement)",completed,2025-05-05,,,,,300000.0,Center at 6th,2330000.0,2023.0,DES MOINES METRO CENTER MERGED UR,,6.0,Metro Center Urban Renewal Area,23-1691,approve development agreement,2023-12-04,approved,7-0,,high,,2023-12-04: approve development agreement [23-1691] (approved),2023-12-04,2023-12-04,https://councildocs.dsm.city/communications/2023/23-545.pdf,1,"propose a capped TIF maximum value of $850,000"
,Third Amendment to Oak Park-Highland Park Urban Renewal Plan,TIF district / UR plan,,,,,,,,,approved,,,,,,,,,,,,,Oak Park-Highland Park Urban Renewal Area,23-1717,ordinance,2023-12-04,approved,7-0,,medium,,2023-12-04: ordinance [23-1717] (approved),,,https://councildocs.dsm.city/communications/2023/23-543.pdf,1,proposed 3rd Amendment to the Urban Renewal Plan
"Mav KG, LLC",Maverik/Kum & Go (FJ Management) regional headquarters office,Office,1100 Locust Street,,,,,,1000000.0,"economic development grant $250,000 (paid in 10 annual installments of $25,000 over the 10-year lease; contingent on maintaining 250+ jobs at $98,000+ average salary and officing from downtown location 3+ days per work week, reviewed annually)",approved,,,,,,8866285.0,Kum & Go,63500000.0,2009.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,23-1544,approve development agreement,2023-11-06,approved,6-0,,high,counterparty_changed_across_actions;multi_meeting_project,2023-09-11: resolution of intent [23-1260] (approved) | 2023-11-06: approve development agreement [23-1544] (approved),,2023-11-06,https://councildocs.dsm.city/communications/2023/23-504.pdf,1,"a $250,000 economic development grant to be paid in annual installments of $25,000"
"Market One, L.L.C.",Market One building,Other,130 East 3rd Street,,,,,,,,approved,,,,,,1984051.0,Market One LLC,4930000.0,2014.0,DES MOINES METRO CENTER MERGED UR,,,,23-1545,amend agreement,2023-11-06,approved,6-0,,medium,,2023-11-06: amend agreement [23-1545] (approved),,,https://councildocs.dsm.city/communications/2023/23-502.pdf,1,to allow for the removal of the South Parking Parcel
,,TIF district / UR plan,,,,,,,,,approved,,,,,,,,,,,,,Oak Park-Highland Park Urban Renewal Area,23-1578,ordinance,2023-11-06,withdrawn,,,medium,,2023-11-06: ordinance [23-1578] (withdrawn),,,https://councildocs.dsm.city/communications/2023/23-505.pdf,1,Public hearing on the 3rd Amendment to the Urban Renewal Plan
,Court Avenue Lofts,Residential,,,,,,,,,approved,,,,,,,,,,,,,,23-1437,other,2023-10-23,approved,6-0,,low,,2023-10-23: other [23-1437] (approved),,,https://councildocs.dsm.city/agendas/ag20231023.pdf,7,Consent to Assignment and Assumption of Urban Renewal Development Agreement for Court Avenue Lofts
"Merle Hay Anchors, LLC",Merle Hay Mall former Sears site redevelopment,Retail / restaurant,,,,,,,,,approved,,,,,,4105853.0,Merle Hay Mall,,,,,,,23-1259,other,2023-09-11,approved,6-0,,medium,,2023-09-11: other [23-1259] (approved),,,https://councildocs.dsm.city/communications/2023/23-405.pdf,1,total minimum actual value of $6.7 million
"106 SW 7th Street, LLC",Carpenter Paper Warehouse renovation (106 SW 7th Street),Industrial / warehouse,106 SW 7th Street,4000000.0,NPV (corrected from cash),6429526.0,18.3,"economic development grant of TIF incentives on building valuations (exclusive of land), 95% in years 1-20, capped at $4.0 million on NPV basis; approximately $6.429 million cash basis ($3,883,637 NPV at 4.5% discount); 17.7% of total project costs",21900000.0,,completed,2025-07-14,30.0,6429526.0,9470466.0,6551996.0,,,6150000.0,2015.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,23-1087,approve development agreement,2023-08-07,approved,6-1,,high,multi_meeting_project,2022-05-09: resolution of intent [22-0700] (approved) | 2023-08-07: approve development agreement [23-1087] (approved),2023-08-07,2023-08-07,https://councildocs.dsm.city/communications/2023/23-360.pdf,1,approximately $6.429 million on a cash basis
"36 on 6th, LLC",36 on 6th (3614 6th Avenue renovation),Mixed-use,3614 6th Avenue,809530.0,unverified (no NPV stated in source),,23.1,"approximately $809,000 in project-generated tax increment on cash basis ($488,558 NPV at 4.5% discount), paid with 95% of project-generated building TIF in years 1-20; requested in lieu of tax abatement",3500000.0,,completed,2026-02-09,30.0,809530.0,1202995.0,958500.0,,,241500.0,1943.0,DES MOINES OAK PARK-HIGHLAND PARK UR,3.0,4.0,Oak Park-Highland Park Urban Renewal Area,23-1145,approve development agreement,2023-08-07,approved,6-1,,high,multi_meeting_project,2022-06-27: other [22-1006] (approved) | 2023-06-26: resolution of intent [23-0914] (approved) | 2023-08-07: approve development agreement [23-1145] (approved) | 2025-05-19: amend agreement [25-0753] (approved),2023-08-07,2023-08-07,https://councildocs.dsm.city/communications/2023/23-356.pdf,1,"approximately $809,000 in project-generated tax increment on a cash basis"
"HOA Development, LLC",Aston - 186-unit mixed-use apartment building at 603 E. 6th Street,Mixed-use,603 East 6th Street,4500000.0,unverified (no NPV stated in source),,10.2,"capped TIF maximum value $4.5M NPV at 4.5% discount; $50,000 in year 8, 95% years 9-15, 90% years 16-20; ~10% of project financing",44000000.0,tax abatement (Developer intends to file for 10-year declining residential tax abatement),approved,,30.0,8858385.0,16806851.0,16036600.0,,,801000.0,,DES MOINES UPPER EAST VILLAGE URBAN RENEWAL,19.0,186.0,Upper East Village Urban Renewal Area / Upper East Village TIF District No. 1,23-0952,approve development agreement,2023-06-26,approved,6-1,,high,figure_not_in_source;counterparty_changed_across_actions;multi_meeting_project,2023-03-06: resolution of intent [23-0304] | 2023-03-27: resolution of intent [23-0404] (approved) | 2023-06-26: approve development agreement [23-0952] (approved) | 2025-07-14: amend agreement [25-0978] (approved),2023-06-26,2023-06-26,https://councildocs.dsm.city/communications/2023/23-311.pdf,1,capped TIF maximum value of $4.5 million in project-generated tax increment
,,Mixed-use,,,,,,,199000000.0,"other $6,425,000 (Combined estimated State Workforce Housing Tax Credit (WHTC) benefits for 10 projects; City action is support resolutions + local match identification (min $1,000/unit))",approved,,,,,,,,,,,,765.0,,31,other,2023-05-22,approved,6-1,,medium,,2023-05-22: other [31] (approved),,2023-05-22,https://councildocs.dsm.city/communications/2023/23-267.pdf,1,"Workforce Housing Tax Credit benefits estimated at $6,425,000"
"OpenLoop Health, Inc.",OpenLoop Health office renovation/expansion at 317 6th Avenue,Office,"317 6th Avenue, Des Moines, IA 50309",,,,,forgivable loan reimbursed from Metro Center TIF District,18900000.0,"forgivable loan $250,000 (Local match for IEDA HQJ program; advanced from Economic Development Enterprise Account, reimbursed by Metro Center TIF on/after July 1, 2024; fully forgivable if job/wage/TI thresholds met)",approved,,,,,,,,5220000.0,1966.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center TIF District,23-0492,approve development agreement,2023-04-10,approved,6-1,,high,multi_meeting_project,2023-03-27: approve development agreement [34] (withdrawn) | 2023-04-10: approve development agreement [23-0492] (approved),,2023-04-10,https://councildocs.dsm.city/communications/2023/23-195.pdf,1,"$250,000 forgivable loan to be advanced to meet the local match"
"Native Business Services, LLC",Younkers building renovation at Southridge Mall (site plan sidewalk improvements),Retail / restaurant,1111 E. Army Post Road,,,,,"grant advanced from Economic Development Enterprise Fund, reimbursed from Southside Economic Development TIF District",2000000.0,"economic development grant $25,000 (For required new sidewalk on west side of site; paid upon completion; reimbursed from Southside Economic Development TIF District)",approved,,,,,,,,,,,,,Southside Economic Development TIF District,23-0403,other,2023-03-27,approved,6-1,,high,,2023-03-27: other [23-0403] (approved),,2023-03-27,https://councildocs.dsm.city/communications/2023/23-160.pdf,1,"economic development grant of $25,000 for Native Business Services, LLC"
"Des Moines Climate Controlled Self Storage, LLC","Climate-controlled self-storage, 503 SE 12th Street",Other,503 SE 12th Street,1200000.0,NPV (corrected from cash),1695738.0,7.7,"~$1,695,738 project-generated TIF on a cash basis; $1,279,545 NPV at 4.5%; 75% TIF years 1-10; capped at $1,200,000 NPV",15500000.0,"land conveyance $200,000 (City-owned land sold to developer for $200,000 (2019 appraised $520,000 less soil-remediation/utility credits))",approved,,10.0,1200337.0,2546848.0,2480212.0,,,0.0,,,,,Metro Center Urban Renewal Area,23-0305,amend agreement,2023-03-06,approved,7-0,,high,multi_meeting_project,2021-06-28: resolution of intent [21-0980] (approved) | 2023-03-06: amend agreement [23-0305] (approved),2021-06-28,2023-03-06,https://councildocs.dsm.city/communications/2023/23-120.pdf,1,"Amount: $200,000 (2019 appraised value of property was $520,000"
"101 East Grand Parking, LLC (Paul Hayes, Tim Rypma, Jim Cownie)",148 East Locust Street mixed-use (Phase 3),Mixed-use,148 East Locust Street,,,,,,,,approved,,,,,,845663.0,101 E Grand Parking LLC,0.0,,,,,,23-0307,amend agreement,2023-03-06,approved,7-0,,medium,,2023-03-06: amend agreement [23-0307] (approved),,,https://councildocs.dsm.city/communications/2023/23-121.pdf,1,FISCAL IMPACT: NONE
"Hoyt, LLC",610 16th Street 47-unit apartments,Residential,610 16th Street,940000.0,unverified (no NPV stated in source),,9.0,"Capped $940,000 project-generated TIF, NPV at 4.5%; 95% yrs 9-12, 90% yrs 13-15, 85% yrs 16-18; ~8% of financing",10500000.0,tax abatement (10-year declining residential tax abatement intended),completed,2024-08-19,30.0,1714433.0,4804480.0,4483359.0,,,183000.0,,DES MOINES METRO CENTER MERGED UR,,47.0,Metro Center Urban Renewal Area,23-0165,approve development agreement,2023-02-06,approved,7-0,,high,counterparty_changed_across_actions;multi_meeting_project,2022-10-03: resolution of intent [22-1526] (approved) | 2023-02-06: approve development agreement [23-0165] (approved) | 2023-11-20: amend agreement [23-1618] (approved),2023-02-06,2023-02-06,https://councildocs.dsm.city/communications/2023/23-070.pdf,1,"capped tax increment financing (TIF) maximum value of $940,000"
"ND22 Fleming, LLC (assigned to KMC Properties, LLC)","Fleming Building adaptive reuse, 604 Walnut Street",Residential,604 Walnut Street,,,,,,,"economic development grant (Existing 15-year incentive in 3 grant phases; phase 3 paid yrs 11-15; amendment corrects first installment to May 15, 2025)",approved,,,,,,,,,,,,96.0,,23-0167,amend agreement,2023-02-06,approved,7-0,,medium,figure_not_in_source,2023-02-06: amend agreement [23-0167] (approved),,,https://councildocs.dsm.city/communications/2023/23-065.pdf,1,FISCAL IMPACT: NONE
"Union at Rivers Edge, LP (The Annex Group)",Union at Rivers Edge 216-unit affordable apartments,Residential,1600 Indianola Avenue (formerly 214 Jackson Avenue),2900000.0,NPV (confirmed),,5.2,"Project-generated econ dev TIF grant capped $2.9M NPV at 4.5% ($5,063,720 cash); 100% yrs 9-11, 95% yrs 12-15, 90% yrs 16-17; ~5.03% of costs",56100000.0,"grant $300,000 (ARPA affordable-housing grant (CC 23-045, RC 23-0104), paid at completion/CO); tax abatement (10-year declining residential tax abatement (8 yrs 100%, yr9 60%, yr10 40%))",completed,2026-06-08,30.0,5063720.0,16173402.0,15360195.0,,,17408900.0,2024.0,DES MOINES METRO CENTER MERGED UR,216.0,216.0,Metro Center Urban Renewal Area,23-0103,approve development agreement,2023-01-23,approved,6-1,,high,,2023-01-23: approve development agreement [23-0103] (approved),2023-01-23,2023-01-23,https://councildocs.dsm.city/communications/2023/23-046.pdf,1,capped maximum amount of assistance at $2.9 million on a net present value
Greater Des Moines Botanical Garden Corporation,Des Moines Botanical Center lease/URDA amendment,Other,,,,,,"Amendment reduces Metro Center TIF funding by $400,000 (replaced by ARPA)",,"grant $1,000,000 ($1,000,000 ARPA operational support ($600,000 new + $400,000 replacing TIF); lump sum via Fifth Amendment to lease)",approved,,,,,,2300000.0,Des Moines Botanical Center,,,,,,Metro Center Urban Renewal Area,23-0123,amend agreement,2023-01-23,approved,7-0,,high,,2023-01-23: amend agreement [23-0123] (approved),,,https://councildocs.dsm.city/communications/2023/23-039.pdf,1,"provides a payment of $1,000,000 in American Rescue Plan Act"
Street Collective (f/k/a Des Moines Bicycle Collective),Des Moines B-Cycle bike-share maintenance and expansion,Other,,,,,,,,"economic development grant (Third amendment (CC 23-021, RC 23-0042): $13,000-$16,000/yr for 3 yrs, option for three 1-yr extensions); forgivable loan $100,000 (CC 23-022 (RC 23-0043): $100,000 at 0%, ARPA-funded, forgiven per documented eligible expenses)",approved,,,,,,,,,,,,,,23-0042,amend agreement,2023-01-09,approved,7-0,,high,,2023-01-09: amend agreement [23-0042] (approved),,,https://councildocs.dsm.city/communications/2023/23-022.pdf,1,"forgivable loan in a principal amount of $100,000"
"East Village Tower Partners, LLC",Rehabilitation of 600 E. 5th Street,Residential,600 E. 5th Street,,,,,,4000000.0,,approved,,,,,,846000.0,East Village Partners LLC,,,,,,,22-1894,amend agreement,2022-12-12,approved,7-0,,low,multi_meeting_project,2016-09-26: other [16-1614] (approved) | 2016-09-26: amend agreement [16-1615] (approved) | 2022-12-12: amend agreement [22-1894] (approved),,2016-09-26,https://councildocs.dsm.city/agendas/ag20221212.pdf,6,Reassignment of Development Agreement by Central State Bank
